Earliest Specimen Date,Nation,Pillar,Daily number of positive cases (new methodology),Cumulative number of positive cases (new methodology)
20/03/2020,UK,Pillar 1,1253,7736
20/03/2020,England,Pillar 2,0,0
20/03/2020,Northern Ireland,Pillar 2,0,0
20/03/2020,Scotland,Pillar 2,0,0
20/03/2020,Wales,Pillar 2,0,0
20/03/2020,UK,Pillar 2,0,0
21/03/2020,England,Pillar 1,1035,7823
21/03/2020,Northern Ireland,Pillar 1,21,140
21/03/2020,Scotland,Pillar 1,66,513
21/03/2020,Wales,Pillar 1,75,457
21/03/2020,UK,Pillar 1,1197,8933
21/03/2020,England,Pillar 2,0,0
21/03/2020,Northern Ireland,Pillar 2,0,0
21/03/2020,Scotland,Pillar 2,0,0
21/03/2020,Wales,Pillar 2,0,0
21/03/2020,UK,Pillar 2,0,0
22/03/2020,England,Pillar 1,1210,9033
22/03/2020,Northern Ireland,Pillar 1,18,158
22/03/2020,Scotland,Pillar 1,75,588
22/03/2020,Wales,Pillar 1,76,533
22/03/2020,UK,Pillar 1,1379,10312
22/03/2020,England,Pillar 2,0,0
22/03/2020,Northern Ireland,Pillar 2,0,0
22/03/2020,Scotland,Pillar 2,0,0
22/03/2020,Wales,Pillar 2,0,0
22/03/2020,UK,Pillar 2,0,0
23/03/2020,England,Pillar 1,2020,11053
23/03/2020,Northern Ireland,Pillar 1,41,199
23/03/2020,Scotland,Pillar 1,145,733
23/03/2020,Wales,Pillar 1,133,666
23/03/2020,UK,Pillar 1,2339,12651
23/03/2020,England,Pillar 2,0,0
23/03/2020,Northern Ireland,Pillar 2,0,0
23/03/2020,Scotland,Pillar 2,0,0
23/03/2020,Wales,Pillar 2,0,0
23/03/2020,UK,Pillar 2,0,0
24/03/2020,England,Pillar 1,2025,13078
24/03/2020,Northern Ireland,Pillar 1,41,240
24/03/2020,Scotland,Pillar 1,169,902
24/03/2020,Wales,Pillar 1,141,807
24/03/2020,UK,Pillar 1,2376,15027
24/03/2020,England,Pillar 2,0,0
24/03/2020,Northern Ireland,Pillar 2,0,0
24/03/2020,Scotland,Pillar 2,0,0
24/03/2020,Wales,Pillar 2,0,0
24/03/2020,UK,Pillar 2,0,0
25/03/2020,England,Pillar 1,2263,15341
25/03/2020,Northern Ireland,Pillar 1,57,297
25/03/2020,Scotland,Pillar 1,181,1083
25/03/2020,Wales,Pillar 1,190,997
25/03/2020,UK,Pillar 1,2691,17718
25/03/2020,England,Pillar 2,0,0
25/03/2020,Northern Ireland,Pillar 2,0,0
25/03/2020,Scotland,Pillar 2,0,0
25/03/2020,Wales,Pillar 2,0,0
25/03/2020,UK,Pillar 2,0,0
26/03/2020,England,Pillar 1,2614,17955
26/03/2020,Northern Ireland,Pillar 1,76,373
26/03/2020,Scotland,Pillar 1,221,1304
26/03/2020,Wales,Pillar 1,177,1174
26/03/2020,UK,Pillar 1,3088,20806
26/03/2020,England,Pillar 2,0,0
26/03/2020,Northern Ireland,Pillar 2,0,0
26/03/2020,Scotland,Pillar 2,0,0
26/03/2020,Wales,Pillar 2,0,0
26/03/2020,UK,Pillar 2,0,0
27/03/2020,England,Pillar 1,2661,20616
27/03/2020,Northern Ireland,Pillar 1,68,441
27/03/2020,Scotland,Pillar 1,274,1578
27/03/2020,Wales,Pillar 1,193,1367
27/03/2020,UK,Pillar 1,3196,24002
27/03/2020,England,Pillar 2,0,0
27/03/2020,Northern Ireland,Pillar 2,0,0
27/03/2020,Scotland,Pillar 2,0,0
27/03/2020,Wales,Pillar 2,0,0
27/03/2020,UK,Pillar 2,0,0
28/03/2020,England,Pillar 1,2377,22993
28/03/2020,Northern Ireland,Pillar 1,76,517
28/03/2020,Scotland,Pillar 1,205,1783
28/03/2020,Wales,Pillar 1,167,1534
28/03/2020,UK,Pillar 1,2825,26827
28/03/2020,England,Pillar 2,0,0
28/03/2020,Northern Ireland,Pillar 2,0,0
28/03/2020,Scotland,Pillar 2,0,0
28/03/2020,Wales,Pillar 2,0,0
28/03/2020,UK,Pillar 2,0,0
29/03/2020,England,Pillar 1,2438,25431
29/03/2020,Northern Ireland,Pillar 1,62,579
29/03/2020,Scotland,Pillar 1,197,1980
29/03/2020,Wales,Pillar 1,159,1693
29/03/2020,UK,Pillar 1,2856,29683
29/03/2020,England,Pillar 2,4,4
29/03/2020,Northern Ireland,Pillar 2,0,0
29/03/2020,Scotland,Pillar 2,0,0
29/03/2020,Wales,Pillar 2,0,0
29/03/2020,UK,Pillar 2,4,4
30/03/2020,England,Pillar 1,3519,28950
30/03/2020,Northern Ireland,Pillar 1,84,663
30/03/2020,Scotland,Pillar 1,321,2301
30/03/2020,Wales,Pillar 1,343,2036
30/03/2020,UK,Pillar 1,4267,33950
30/03/2020,England,Pillar 2,8,12
30/03/2020,Northern Ireland,Pillar 2,0,0
30/03/2020,Scotland,Pillar 2,0,0
30/03/2020,Wales,Pillar 2,0,0
30/03/2020,UK,Pillar 2,8,12
31/03/2020,England,Pillar 1,3766,32716
31/03/2020,Northern Ireland,Pillar 1,112,775
31/03/2020,Scotland,Pillar 1,340,2641
31/03/2020,Wales,Pillar 1,277,2313
31/03/2020,UK,Pillar 1,4495,38445
31/03/2020,England,Pillar 2,20,32
31/03/2020,Northern Ireland,Pillar 2,0,0
31/03/2020,Scotland,Pillar 2,0,0
31/03/2020,Wales,Pillar 2,0,0
31/03/2020,UK,Pillar 2,20,32
01/04/2020,England,Pillar 1,4085,36801
01/04/2020,Northern Ireland,Pillar 1,103,878
01/04/2020,Scotland,Pillar 1,384,3025
01/04/2020,Wales,Pillar 1,327,2640
01/04/2020,UK,Pillar 1,4899,43344
01/04/2020,England,Pillar 2,18,50
01/04/2020,Northern Ireland,Pillar 2,0,0
01/04/2020,Scotland,Pillar 2,0,0
01/04/2020,Wales,Pillar 2,0,0
01/04/2020,UK,Pillar 2,18,50
02/04/2020,England,Pillar 1,4016,40817
02/04/2020,Northern Ireland,Pillar 1,105,983
02/04/2020,Scotland,Pillar 1,355,3380
02/04/2020,Wales,Pillar 1,336,2976
02/04/2020,UK,Pillar 1,4812,48156
02/04/2020,England,Pillar 2,57,107
02/04/2020,Northern Ireland,Pillar 2,0,0
02/04/2020,Scotland,Pillar 2,0,0
02/04/2020,Wales,Pillar 2,0,0
02/04/2020,UK,Pillar 2,57,107
03/04/2020,England,Pillar 1,4051,44868
03/04/2020,Northern Ireland,Pillar 1,103,1086
03/04/2020,Scotland,Pillar 1,379,3759
03/04/2020,Wales,Pillar 1,330,3306
03/04/2020,UK,Pillar 1,4863,53019
03/04/2020,England,Pillar 2,50,157
03/04/2020,Northern Ireland,Pillar 2,0,0
03/04/2020,Scotland,Pillar 2,0,0
03/04/2020,Wales,Pillar 2,0,0
03/04/2020,UK,Pillar 2,50,157
04/04/2020,England,Pillar 1,3324,48192
04/04/2020,Northern Ireland,Pillar 1,87,1173
04/04/2020,Scotland,Pillar 1,259,4018
04/04/2020,Wales,Pillar 1,282,3588
04/04/2020,UK,Pillar 1,3952,56971
04/04/2020,England,Pillar 2,64,221
04/04/2020,Northern Ireland,Pillar 2,0,0
04/04/2020,Scotland,Pillar 2,1,1
04/04/2020,Wales,Pillar 2,0,0
04/04/2020,UK,Pillar 2,65,222
05/04/2020,England,Pillar 1,3029,51221
05/04/2020,Northern Ireland,Pillar 1,61,1234
05/04/2020,Scotland,Pillar 1,225,4243
05/04/2020,Wales,Pillar 1,223,3811
05/04/2020,UK,Pillar 1,3538,60509
05/04/2020,England,Pillar 2,53,274
05/04/2020,Northern Ireland,Pillar 2,0,0
05/04/2020,Scotland,Pillar 2,0,1
05/04/2020,Wales,Pillar 2,0,0
05/04/2020,UK,Pillar 2,53,275
06/04/2020,England,Pillar 1,4333,55554
06/04/2020,Northern Ireland,Pillar 1,106,1340
06/04/2020,Scotland,Pillar 1,404,4647
06/04/2020,Wales,Pillar 1,383,4194
06/04/2020,UK,Pillar 1,5226,65735
06/04/2020,England,Pillar 2,57,331
06/04/2020,Northern Ireland,Pillar 2,0,0
06/04/2020,Scotland,Pillar 2,0,1
06/04/2020,Wales,Pillar 2,0,0
06/04/2020,UK,Pillar 2,57,332
07/04/2020,England,Pillar 1,4473,60027
07/04/2020,Northern Ireland,Pillar 1,131,1471
07/04/2020,Scotland,Pillar 1,351,4998
07/04/2020,Wales,Pillar 1,386,4580
07/04/2020,UK,Pillar 1,5341,71076
07/04/2020,England,Pillar 2,105,436
07/04/2020,Northern Ireland,Pillar 2,0,0
07/04/2020,Scotland,Pillar 2,0,1
07/04/2020,Wales,Pillar 2,0,0
07/04/2020,UK,Pillar 2,105,437
08/04/2020,England,Pillar 1,4239,64266
08/04/2020,Northern Ireland,Pillar 1,103,1574
08/04/2020,Scotland,Pillar 1,343,5341
08/04/2020,Wales,Pillar 1,386,4966
08/04/2020,UK,Pillar 1,5071,76147
08/04/2020,England,Pillar 2,62,498
08/04/2020,Northern Ireland,Pillar 2,0,0
08/04/2020,Scotland,Pillar 2,0,1
08/04/2020,Wales,Pillar 2,0,0
08/04/2020,UK,Pillar 2,62,499
09/04/2020,England,Pillar 1,4017,68283
09/04/2020,Northern Ireland,Pillar 1,101,1675
09/04/2020,Scotland,Pillar 1,301,5642
09/04/2020,Wales,Pillar 1,391,5357
09/04/2020,UK,Pillar 1,4810,80957
09/04/2020,England,Pillar 2,46,544
09/04/2020,Northern Ireland,Pillar 2,0,0
09/04/2020,Scotland,Pillar 2,0,1
09/04/2020,Wales,Pillar 2,0,0
09/04/2020,UK,Pillar 2,46,545
10/04/2020,England,Pillar 1,3506,71789
10/04/2020,Northern Ireland,Pillar 1,96,1771
10/04/2020,Scotland,Pillar 1,329,5971
10/04/2020,Wales,Pillar 1,308,5665
10/04/2020,UK,Pillar 1,4239,85196
10/04/2020,England,Pillar 2,73,617
10/04/2020,Northern Ireland,Pillar 2,0,0
10/04/2020,Scotland,Pillar 2,0,1
10/04/2020,Wales,Pillar 2,0,0
10/04/2020,UK,Pillar 2,73,618
11/04/2020,England,Pillar 1,3005,74794
11/04/2020,Northern Ireland,Pillar 1,67,1838
11/04/2020,Scotland,Pillar 1,185,6156
11/04/2020,Wales,Pillar 1,247,5912
11/04/2020,UK,Pillar 1,3504,88700
11/04/2020,England,Pillar 2,74,691
11/04/2020,Northern Ireland,Pillar 2,0,0
11/04/2020,Scotland,Pillar 2,0,1
11/04/2020,Wales,Pillar 2,0,0
11/04/2020,UK,Pillar 2,74,692
12/04/2020,England,Pillar 1,2699,77493
12/04/2020,Northern Ireland,Pillar 1,73,1911
12/04/2020,Scotland,Pillar 1,220,6376
12/04/2020,Wales,Pillar 1,247,6159
12/04/2020,UK,Pillar 1,3239,91939
12/04/2020,England,Pillar 2,248,939
12/04/2020,Northern Ireland,Pillar 2,0,0
12/04/2020,Scotland,Pillar 2,0,1
12/04/2020,Wales,Pillar 2,0,0
12/04/2020,UK,Pillar 2,248,940
13/04/2020,England,Pillar 1,3309,80802
13/04/2020,Northern Ireland,Pillar 1,107,2018
13/04/2020,Scotland,Pillar 1,359,6735
13/04/2020,Wales,Pillar 1,273,6432
13/04/2020,UK,Pillar 1,4048,95987
13/04/2020,England,Pillar 2,133,1072
13/04/2020,Northern Ireland,Pillar 2,0,0
13/04/2020,Scotland,Pillar 2,0,1
13/04/2020,Wales,Pillar 2,0,0
13/04/2020,UK,Pillar 2,133,1073
14/04/2020,England,Pillar 1,3417,84219
14/04/2020,Northern Ireland,Pillar 1,96,2114
14/04/2020,Scotland,Pillar 1,346,7081
14/04/2020,Wales,Pillar 1,317,6749
14/04/2020,UK,Pillar 1,4176,100163
14/04/2020,England,Pillar 2,148,1220
14/04/2020,Northern Ireland,Pillar 2,0,0
14/04/2020,Scotland,Pillar 2,0,1
14/04/2020,Wales,Pillar 2,0,0
14/04/2020,UK,Pillar 2,148,1221
15/04/2020,England,Pillar 1,3605,87824
15/04/2020,Northern Ireland,Pillar 1,134,2248
15/04/2020,Scotland,Pillar 1,334,7415
15/04/2020,Wales,Pillar 1,361,7110
15/04/2020,UK,Pillar 1,4434,104597
15/04/2020,England,Pillar 2,632,1852
15/04/2020,Northern Ireland,Pillar 2,0,0
15/04/2020,Scotland,Pillar 2,0,1
15/04/2020,Wales,Pillar 2,0,0
15/04/2020,UK,Pillar 2,632,1853
16/04/2020,England,Pillar 1,3434,91258
16/04/2020,Northern Ireland,Pillar 1,138,2386
16/04/2020,Scotland,Pillar 1,424,7839
16/04/2020,Wales,Pillar 1,363,7473
16/04/2020,UK,Pillar 1,4359,108956
16/04/2020,England,Pillar 2,929,2781
16/04/2020,Northern Ireland,Pillar 2,0,0
16/04/2020,Scotland,Pillar 2,1,2
16/04/2020,Wales,Pillar 2,0,0
16/04/2020,UK,Pillar 2,930,2783
17/04/2020,England,Pillar 1,3426,94684
17/04/2020,Northern Ireland,Pillar 1,156,2542
17/04/2020,Scotland,Pillar 1,394,8233
17/04/2020,Wales,Pillar 1,324,7797
17/04/2020,UK,Pillar 1,4300,113256
17/04/2020,England,Pillar 2,656,3437
17/04/2020,Northern Ireland,Pillar 2,0,0
17/04/2020,Scotland,Pillar 2,0,2
17/04/2020,Wales,Pillar 2,0,0
17/04/2020,UK,Pillar 2,656,3439
18/04/2020,England,Pillar 1,2571,97255
18/04/2020,Northern Ireland,Pillar 1,86,2628
18/04/2020,Scotland,Pillar 1,264,8497
18/04/2020,Wales,Pillar 1,247,8044
18/04/2020,UK,Pillar 1,3168,116424
18/04/2020,England,Pillar 2,1550,4987
18/04/2020,Northern Ireland,Pillar 2,0,0
18/04/2020,Scotland,Pillar 2,0,2
18/04/2020,Wales,Pillar 2,0,0
18/04/2020,UK,Pillar 2,1550,4989
19/04/2020,England,Pillar 1,2084,99339
19/04/2020,Northern Ireland,Pillar 1,41,2669
19/04/2020,Scotland,Pillar 1,159,8656
19/04/2020,Wales,Pillar 1,181,8225
19/04/2020,UK,Pillar 1,2465,118889
19/04/2020,England,Pillar 2,1390,6377
19/04/2020,Northern Ireland,Pillar 2,0,0
19/04/2020,Scotland,Pillar 2,0,2
19/04/2020,Wales,Pillar 2,0,0
19/04/2020,UK,Pillar 2,1390,6379
20/04/2020,England,Pillar 1,3066,102405
20/04/2020,Northern Ireland,Pillar 1,112,2781
20/04/2020,Scotland,Pillar 1,348,9004
20/04/2020,Wales,Pillar 1,281,8506
20/04/2020,UK,Pillar 1,3807,122696
20/04/2020,England,Pillar 2,617,6994
20/04/2020,Northern Ireland,Pillar 2,0,0
20/04/2020,Scotland,Pillar 2,428,430
20/04/2020,Wales,Pillar 2,0,0
20/04/2020,UK,Pillar 2,1045,7424
21/04/2020,England,Pillar 1,2992,105397
21/04/2020,Northern Ireland,Pillar 1,131,2912
21/04/2020,Scotland,Pillar 1,399,9403
21/04/2020,Wales,Pillar 1,259,8765
21/04/2020,UK,Pillar 1,3781,126477
21/04/2020,England,Pillar 2,979,7973
21/04/2020,Northern Ireland,Pillar 2,0,0
21/04/2020,Scotland,Pillar 2,0,430
21/04/2020,Wales,Pillar 2,0,0
21/04/2020,UK,Pillar 2,979,8403
22/04/2020,England,Pillar 1,2763,108160
22/04/2020,Northern Ireland,Pillar 1,99,3011
22/04/2020,Scotland,Pillar 1,340,9743
22/04/2020,Wales,Pillar 1,253,9018
22/04/2020,UK,Pillar 1,3455,129932
22/04/2020,England,Pillar 2,2034,10007
22/04/2020,Northern Ireland,Pillar 2,0,0
22/04/2020,Scotland,Pillar 2,0,430
22/04/2020,Wales,Pillar 2,0,0
22/04/2020,UK,Pillar 2,2034,10437
23/04/2020,England,Pillar 1,2768,110928
23/04/2020,Northern Ireland,Pillar 1,73,3084
23/04/2020,Scotland,Pillar 1,314,10057
23/04/2020,Wales,Pillar 1,200,9218
23/04/2020,UK,Pillar 1,3355,133287
23/04/2020,England,Pillar 2,1805,11812
23/04/2020,Northern Ireland,Pillar 2,0,0
23/04/2020,Scotland,Pillar 2,0,430
23/04/2020,Wales,Pillar 2,1,1
23/04/2020,UK,Pillar 2,1806,12243
24/04/2020,England,Pillar 1,2772,113700
24/04/2020,Northern Ireland,Pillar 1,83,3167
24/04/2020,Scotland,Pillar 1,305,10362
24/04/2020,Wales,Pillar 1,213,9431
24/04/2020,UK,Pillar 1,3373,136660
24/04/2020,England,Pillar 2,1598,13410
24/04/2020,Northern Ireland,Pillar 2,0,0
24/04/2020,Scotland,Pillar 2,0,430
24/04/2020,Wales,Pillar 2,0,1
24/04/2020,UK,Pillar 2,1598,13841
25/04/2020,England,Pillar 1,1810,115510
25/04/2020,Northern Ireland,Pillar 1,54,3221
25/04/2020,Scotland,Pillar 1,185,10547
25/04/2020,Wales,Pillar 1,136,9567
25/04/2020,UK,Pillar 1,2185,138845
25/04/2020,England,Pillar 2,1563,14973
25/04/2020,Northern Ireland,Pillar 2,0,0
25/04/2020,Scotland,Pillar 2,0,430
25/04/2020,Wales,Pillar 2,0,1
25/04/2020,UK,Pillar 2,1563,15404
26/04/2020,England,Pillar 1,1408,116918
26/04/2020,Northern Ireland,Pillar 1,45,3266
26/04/2020,Scotland,Pillar 1,163,10710
26/04/2020,Wales,Pillar 1,120,9687
26/04/2020,UK,Pillar 1,1736,140581
26/04/2020,England,Pillar 2,1730,16703
26/04/2020,Northern Ireland,Pillar 2,0,0
26/04/2020,Scotland,Pillar 2,8,438
26/04/2020,Wales,Pillar 2,1,2
26/04/2020,UK,Pillar 2,1739,17143
27/04/2020,England,Pillar 1,2220,119138
27/04/2020,Northern Ireland,Pillar 1,70,3336
27/04/2020,Scotland,Pillar 1,334,11044
27/04/2020,Wales,Pillar 1,166,9853
27/04/2020,UK,Pillar 1,2790,143371
27/04/2020,England,Pillar 2,1811,18514
27/04/2020,Northern Ireland,Pillar 2,1,1
27/04/2020,Scotland,Pillar 2,96,534
27/04/2020,Wales,Pillar 2,6,8
27/04/2020,UK,Pillar 2,1914,19057
28/04/2020,England,Pillar 1,2287,121425
28/04/2020,Northern Ireland,Pillar 1,73,3409
28/04/2020,Scotland,Pillar 1,310,11354
28/04/2020,Wales,Pillar 1,148,10001
28/04/2020,UK,Pillar 1,2818,146189
28/04/2020,England,Pillar 2,1832,20346
28/04/2020,Northern Ireland,Pillar 2,2,3
28/04/2020,Scotland,Pillar 2,70,604
28/04/2020,Wales,Pillar 2,5,13
28/04/2020,UK,Pillar 2,1909,20966
29/04/2020,England,Pillar 1,2348,123773
29/04/2020,Northern Ireland,Pillar 1,91,3500
29/04/2020,Scotland,Pillar 1,316,11670
29/04/2020,Wales,Pillar 1,167,10168
29/04/2020,UK,Pillar 1,2922,149111
29/04/2020,England,Pillar 2,2394,22740
29/04/2020,Northern Ireland,Pillar 2,2,5
29/04/2020,Scotland,Pillar 2,114,718
29/04/2020,Wales,Pillar 2,9,22
29/04/2020,UK,Pillar 2,2519,23485
30/04/2020,England,Pillar 1,2124,125897
30/04/2020,Northern Ireland,Pillar 1,91,3591
30/04/2020,Scotland,Pillar 1,271,11941
30/04/2020,Wales,Pillar 1,194,10362
30/04/2020,UK,Pillar 1,2680,151791
30/04/2020,England,Pillar 2,2189,24929
30/04/2020,Northern Ireland,Pillar 2,25,30
30/04/2020,Scotland,Pillar 2,64,782
30/04/2020,Wales,Pillar 2,6,28
30/04/2020,UK,Pillar 2,2284,25769
01/05/2020,England,Pillar 1,1948,127845
01/05/2020,Northern Ireland,Pillar 1,82,3673
01/05/2020,Scotland,Pillar 1,267,12208
01/05/2020,Wales,Pillar 1,161,10523
01/05/2020,UK,Pillar 1,2458,154249
01/05/2020,England,Pillar 2,2147,27076
01/05/2020,Northern Ireland,Pillar 2,18,48
01/05/2020,Scotland,Pillar 2,101,883
01/05/2020,Wales,Pillar 2,15,43
01/05/2020,UK,Pillar 2,2281,28050
02/05/2020,England,Pillar 1,1245,129090
02/05/2020,Northern Ireland,Pillar 1,58,3731
02/05/2020,Scotland,Pillar 1,148,12356
02/05/2020,Wales,Pillar 1,169,10692
02/05/2020,UK,Pillar 1,1620,155869
02/05/2020,England,Pillar 2,1496,28572
02/05/2020,Northern Ireland,Pillar 2,33,81
02/05/2020,Scotland,Pillar 2,69,952
02/05/2020,Wales,Pillar 2,10,53
02/05/2020,UK,Pillar 2,1608,29658
03/05/2020,England,Pillar 1,960,130050
03/05/2020,Northern Ireland,Pillar 1,28,3759
03/05/2020,Scotland,Pillar 1,107,12463
03/05/2020,Wales,Pillar 1,94,10786
03/05/2020,UK,Pillar 1,1189,157058
03/05/2020,England,Pillar 2,1674,30246
03/05/2020,Northern Ireland,Pillar 2,27,108
03/05/2020,Scotland,Pillar 2,82,1034
03/05/2020,Wales,Pillar 2,11,64
03/05/2020,UK,Pillar 2,1794,31452
04/05/2020,England,Pillar 1,1619,131669
04/05/2020,Northern Ireland,Pillar 1,54,3813
04/05/2020,Scotland,Pillar 1,269,12732
04/05/2020,Wales,Pillar 1,131,10917
04/05/2020,UK,Pillar 1,2073,159131
04/05/2020,England,Pillar 2,1224,31470
04/05/2020,Northern Ireland,Pillar 2,21,129
04/05/2020,Scotland,Pillar 2,60,1094
04/05/2020,Wales,Pillar 2,8,72
04/05/2020,UK,Pillar 2,1313,32765
05/05/2020,England,Pillar 1,1603,133272
05/05/2020,Northern Ireland,Pillar 1,58,3871
05/05/2020,Scotland,Pillar 1,216,12948
05/05/2020,Wales,Pillar 1,163,11080
05/05/2020,UK,Pillar 1,2040,161171
05/05/2020,England,Pillar 2,1543,33013
05/05/2020,Northern Ireland,Pillar 2,17,146
